maritime_area,registration_number,imo_number,ship_name,callsign,mmsi,shiptype,length,tonnage,tonnage_unit,materiel_onboard,atis_code,radio_license_status,date_first_license,date_inactivity_license
BR,B91171Z,,GOLUM,FGD2186,227549140,PLEASURE CRAFT,10,9,UMS,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB,,ACTIVE,27/05/2003,
PL,B91721X,,SHAMROCK V,FGD2250,227549450,PLEASURE CRAFT,10.1,,UMS,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB,,ACTIVE,03/06/2003,
SM,691996V,,JANUS,FGD2302,227229890,PLEASURE CRAFT,10.4,,UMS,VHF ASN - VHF PORTATIVE,,ACTIVE,05/06/2003,
CC,B92793M,,ILIDAN,FGD2321,227549890,PLEASURE CRAFT,10,9,UMS,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB,,ACTIVE,05/06/2003,
PL,924575Y,,KALON MAOUEZ,FGA8451,227317030,FISHING,12.95,27.92,UMS,VHF ASN - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X),,ACTIVE,16/09/2002,
CC,911295N,,BERCEAU DE L'OCEAN,FQEB,228156900,FISHING,14.1,36.63,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD),,ACTIVE,17/09/2002,
VA,B93516Y,,UPSET,FGD2385,227550010,PLEASURE CRAFT,10,9,TX,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB,,ACTIVE,10/06/2003,
LO,B93465T,,CRAZY-CRAZY,FGD2432,227550490,PLEASURE CRAFT,10.11,9.59,UMS,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB,,ACTIVE,16/06/2003,
BR,909463X,,GWELENN,FGA8522,227010230,BULK,13.48,12,UMS,VHF - VHF ASN - AIS - RADAR 9 PAN (BANDE X),,INACTIVE,02/10/2002,30/09/2016
CC,B90019X,,ALI,FGA9951,227547820,PLEASURE CRAFT,10,9,UMS,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BALISE COSPAS SARSAT PLB,,ACTIVE,09/05/2003,
GV,922678L,,LA PEROUSE,FUJT,228174600,FISHING,23.96,150.54,UMS,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE MINI C - RADAR 3 PAN (BANDE S) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,17/06/2003,
LH,B94086T,,APACHE,FGD2489,227550850,PLEASURE CRAFT,10.11,9.59,UMS,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BALISE COSPAS SARSAT PLB,,ACTIVE,18/06/2003,
SM,B61264S,,MAYUKO,FGA9658,227059160,PLEASURE CRAFT,12,20,UMS,VHF - AIS,,ACTIVE,16/04/2003,
PL,907899X,,FLEUR DE GWARES,FWYN,228165700,FISHING,24.65,176.67,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,27/12/2002,
RI,924384R,9261889,CMA CGM FORT ST LOUIS,FQFL,226326000,BULK,197,26432,UMS,VHF ASN - AIS - VHF PORTATIVE - UHF - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - SATELLITE FLEET - LRIT - RADAR 9 PAN (BANDE X) - RADAR 3 PAN (BANDE S) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,13/01/2003,
RI,924385S,9261891,CMA CGM FORT ST PIERRE,FQFM,226328000,BULK,197.2,26342,UMS,VHF ASN - AIS - UHF - VHF - UHF - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - SATELLITE FLEET - RADAR 9 PAN (BANDE X) - RADAR 3 PAN (BANDE S) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,13/01/2003,
CH,B91798F,,NORDMAOR,FGD2577,227551320,PLEASURE CRAFT,10.11,,UMS,VHF ASN - AIS - VHF PORTATIVE,,ACTIVE,24/06/2003,
BR,B86376M,,CERCLE VERT,FGA9709,227546430,PLEASURE CRAFT,10,9,UMS,VHF ASN - BALISE COSPAS S.  EPIRB - BALISE COSPAS SARSAT PLB,,ACTIVE,22/04/2003,
CC,B88770P,,CHALLENGE ESPOIR,FGA9726,227546610,PLEASURE CRAFT,10,9,UMS,VHF ASN - AIS - BALISE COSPAS S.  EPIRB,,ACTIVE,23/04/2003,
